City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
93,Faanui,-16.4833,-151.75,76.91,89,100,11.54,PF,2022-01-17 13:43:18
94,Atar,20.5169,-13.0499,81.32,10,37,21.14,MR,2022-01-17 13:43:18
95,Gobabis,-22.45,18.9667,86.61,29,74,7.63,NA,2022-01-17 13:43:19
96,Pevek,69.7008,170.3133,-28.32,100,24,2.35,RU,2022-01-17 13:43:20
97,Georgetown,5.4112,100.3354,85.95,66,40,1.01,MY,2022-01-17 13:43:20
98,Lata,40.1629,-8.3327,60.93,42,4,4.9,PT,2022-01-17 13:43:21
99,Ribeira Grande,38.5167,-28.7,59.4,63,75,5.75,PT,2022-01-17 13:43:22
100,Ode,7.7899,5.7117,92.5,11,91,6.04,NG,2022-01-17 13:43:22
101,Manado,1.487,124.8455,75.97,94,40,1.14,ID,2022-01-17 13:43:23
102,Kavaratti,10.5669,72.642,80.65,71,89,12.41,IN,2022-01-17 13:43:24
103,Adrar,20.5022,-10.0711,73.08,10,14,14.79,MR,2022-01-17 13:43:24
104,Avarua,-21.2078,-159.775,78.85,89,75,13.8,CK,2022-01-17 13:43:25
105,Bredasdorp,-34.5322,20.0403,84.27,51,6,16.33,ZA,2022-01-17 13:43:26
106,Boueni,-12.9025,45.0761,80.58,75,100,15.86,YT,2022-01-17 13:43:26
107,Port Hueneme,34.1478,-119.1951,61.18,68,20,0.0,US,2022-01-17 13:43:28
108,Abrau-Dyurso,44.69,37.59,42.26,68,100,24.14,RU,2022-01-17 13:43:28
109,Ginda,30.6945,78.4932,46.9,66,98,4.7,IN,2022-01-17 13:43:29
110,Yankton,42.8711,-97.3973,26.85,93,75,4.61,US,2022-01-17 13:41:45
111,Roma,43.2128,-75.4557,33.82,88,100,8.05,US,2022-01-17 13:42:03
112,Saint-Philippe,-21.3585,55.7679,85.59,85,100,1.48,RE,2022-01-17 13:43:30
113,Half Moon Bay,37.4636,-122.4286,56.62,79,100,0.0,US,2022-01-17 13:43:31
114,Touros,-5.1989,-35.4608,86.9,56,76,14.7,BR,2022-01-17 13:43:32
